Class	Rank	Thes	Engl	Phon	Chinese	Latin	Loglan	Xref	!Word	Lojban	definition (*=obj cpd, +n=1st case merge, -n=2nd case merge, Sn=set members, Pn=pairwise, @=merge but no cpd, ?=special merge, = =as needed)	Comments (c=ch,q=sh,x=zh,#=schwa,i=ee,y=bin,w=ng)
q		2.4.1	awake	auak	|qiw	vygylans	cidja		gva		$x_1$ is awake	
r		2.4.1	digest	dyjest	-siau!hua	konkok.ere	djesi		jey		$x_1$ digests food $x_2*$	
r		2.4.1	hunger,thirst	hungr	!jie	avyd.us	kanji*	pel	jie		$x_1$ hungers to do activity (vo) $x_2+1$	Feels a strong physiological drive.  Needs -jie -crw for hungers to eat.
q		2.4.1	sleep	slip	!quei	dorm.yre	sonli		pqi		$x_1$ sleeps	
r		2.4.1	relax	rilaks	-siou-si	languysk.ere	surla*	ksw	sil		$x_1$ relaxes itself by doing activity (vo) $x_2+1$	X1 is usually a person.
r		2.4.1	cough	kaf	/k#!sou	tuss.yre	kafso		sou		$x_1$ coughs up sputum (xo) $x_2$	
q		2.4.1	wear~out	uer-aut	!puo|suen	ter.ere		ksi,xda	ste		$x_1$ wears out by itself	
q		2.4.1	sneeze	sniz	|da!ti-p#n	sternu.ere	tsani		tsn		$x_1$ sneezes	
q		2.4.1	alive	#layv	/huo-de	vyv.us	clivi		vde		$x_1$ is alive	
r		2.4.1,2.2.3	vomit	vamyt	|ou	vom.ere	vamtu		vom		$x_1$ vomits substance (xo) $x_2*$ on target $x_3$ from origin $x_4$ via route $x_5$	
r		2.4.1,2.3.4	weep,cry,tear	uip	/liou!lei	lakrym.are	klaku*	kam	kli		$x_1$ weeps tears (xo) $x_2$ because event (vo) $x_3+1$ happens	
t		2.4.2	Making Objects	-	-	-			242		producer $x_1$ makes product $x_2$	
r		2.4.2	birth	brt	-q#w	par.ere	brana		brw		$x_1$ gives birth to baby $x_2$	
r		2.4.2	sew	so	/f#w	su.ere	djoso		fwo		$x_1$ sews part $x_2$ onto clothes $x_3$	Attaches X2 by sewing, or joins similar-sized X2 and X3.
r		2.4.2	weave	uiv	-jr	teks.ere	jivna*		jre		$x_1$ weaves cloth $x_2$ from thread (xo) $x_3$	X3 is the type of thread used, e.g. wool.
r		2.4.2	invent	ynvent	-fa/miw	ynven.yre	vetfa		vey		$x_1$ invents apparatus $x_2$ that performs function (vo) $x_3+2$	
r		2.4.2	organize,system	org#naiz	|dzu/jr	ordyn.are	ganli	smu	zor		$x_1$ organizes parts (xy) $x_2s$ into system $x_3s$	
r		2.4.2	make,material	maik	!dzuo	fak.ere	makso	smu,qma	dma		$x_1$ makes $x_2:*$ out of material (xo) $x_3$	X2 should be a unitary object, not a system, for which use -smu.  -qma for transitive make.
r		2.4.2,2.1.1	assemble,system,build	asembl	-qou/ji	stru.ere	balci	dma,zor,cur	smu		$x_1$ builds or assembles system $x_2s$ by adding parts $x_3$	Use -dma for a unitary object.
r		2.4.2,4.3.5	cook,eat	k#k	|ju!fan	kok.ere	kokfa		kow		$x_1$ cooks food $x_2*$ for eater $x_3$	Usually involves heat but includes preparing wholly cold food.
q		2.4.2,4.6.3	designer,architect,engineer	dizain	!qe!ji	desygn.are	tekto		zde		$x_1$ is an architect or designer of (xi) $x_2:*$	Explicit !xe needed to say X1 designed a specific X2.
t		2.4.3	Using Up or Destroying Objects	-	-	-			243		actor $x_1$ uses up object $x_2*$ making pieces $x_3$	
r		2.4.3	drink	drywk	-h#	byb.ere	hompi		byw		$x_1$ drinks beverage (xo) $x_2*$ out of vessel $x_3$	
r		2.4.3	cut	k#t	-cie	sek.are	kutla		cie		$x_1$ cuts $x_2:$ into pieces (xo) $x_3$	
r		2.4.3	waste	uast	!law!fei	efus.yo	festi	siu	fua		$x_1$ wastes (xo) $x_2:*$ on activity (vo) $x_3+1$	
r		2.4.3	grind	graind	/muo	mol.ere	zalvi*		gmo		$x_1$ grinds $x_2:$ into powder (xo) $x_3$	
r		2.4.3	squish,squash,pulp,smash	skuaq	-ia!lan	konter.ere	kraco	sue	koe		$x_1$ smashes, squishes $x_2:*$ into a pulp (xo) $x_3$	
r		2.4.3	destroy	destroi	!puo!huai	perd.ere	hutri		poi		$x_1$ destroys $x_2:*$	
r		2.4.3	consume,use,deplete	iuz	-siau!hau	konsum.ere	xaksu*	fua	siu		$x_1$ uses up (xo) $x_2:*$ on activity (vo) $x_3+1$	Not implying waste.
r		2.4.3	crunch,crush	kruq	-ia!suei	oprym.ere	zakra	koe	sue		$x_1$ crushes, crunches $x_2:*$ into pieces (xo) $x_3$	
r		2.4.3	tear,rip	ter	-sz!puo	skind.ere			ter		$x_1$ tears $x_2:$ into shreds (xo) $x_3$	
r		2.4.3	scrape	skraip	-siau	rad.ere	guska*		zra		$x_1$ scrapes $x_2:*$ dislodging shavings (xo) $x_3$	
r	13	2.4.3,4.3.5	eat	it	-cr	ed.are	titci	kqu	crw		$x_1$ eats food $x_2*$	
t		2.4.4	Using Objects	-	-	-			244		actor $x_1$ uses object $x_2*$ in relation to object $x_3$	
r		2.4.4	distribute	dystrybiut	-fen|gei	dystrybu.ere	petri	xre	dry		$x_1$ distributes goods (xo) $x_2$ to or among the members of set (xy) $x_3s$	X2 is often servings but can be a set whose members are distributed.
r		2.4.4	fill,inflate	fyl	-cuw|man	ympl.ere	flati		fyl		$x_1$ fills vessel $x_2$ with content (xo) $x_3*$	
r		2.4.4	bath	bat	|qi|dzau	lav.ary	banci	vla	qia		$x_1$ bathes in liquid (xo) $x_2*$	X2 is the bathwater; use -xyn or -vel for a bathtub.
r		2.4.4	rub	r#b	-tsuo	ter.ere	satro		suo		$x_1$ rubs $x_2:$ with $x_3:$	
r		2.4.4	touch	t#c	-muo	tang.ere	totco	tao	tmu		$x_1$ touches $x_2:$ with $x_3:$	
r		2.4.4	wash	uaq	|si	lav.are	vlaci	qia	vla		$x_1$ washes $x_2:$ in liquid (xo) $x_3$	X3 is the bathwater; use |xyn or |vel for a bathtub.
r		2.4.4	hold	hold	/na	ten.ere	jugra		xna		$x_1$ holds $x_2:$ with its body part $x_3-1$	Not for the hold of a ship.
r		2.4.4	share	qer	!fen	pars		dry	xre		share $x_1$ pertains to recipient $x_2$ of goods (xo) $x_3*$ being distributed among set (xy) $x_4s$	
r		2.4.4,1.1.8	select,choose	selekt	-tiau|suan	leg.ere	tisra		sle		$x_1$ selects member $x_2*$ from set (xy) $x_3s$	
r		2.4.4,1.3.6	measure	mexr	/liaw	met.yry	merli	kun	tme		$x_1$ measures object $x_2$ in quality (vo) $x_3+2$	Use |pa or |kun for the result.
r		2.4.4,4.7.2,4.7.3	sell,buy,price	sel	!mai	vend.ere	vedma	dia	ven		$x_1$ sells $x_2:*$ to buyer $x_3$ for price $x_4$	Use -dia for non-money trade.  Use -za -ven for buy.
t		2.4.5	Helping or Transforming Objects	-	-	-			245		actor $x_1$ makes object $x_2*$ be or do event (vo) $x_3+2$	
r		2.4.5	protect,defend	protekt	/faw!bei	defend.ere	bandu*		few		$x_1$ protects $x_2:$ from (vo) $x_3:+2$	X1 can be an actor or an artifact e.g. paint.
r		2.4.5	fold	fold	/je	plyk.are	foldi	vjou	fol		$x_1$ folds $x_2:*$	|pa for how many times.  Not for a corral.
r		2.4.5	repair,fix	fyks	|siou|li	refyk.ere	nakso	kme	fyo		$x_1$ fixes, repairs $x_2:$ its fault (vo) $x_3+2$	
r		2.4.5	adjust	aj#st	|jew|ly	ordyn.are	stuli		jew		$x_1$ adjusts $x_2:$ in its function (vo) $x_3+2$	
r		2.4.5	care,custodian	kar	!dzao!gu	kur.are	kerju		kar		custodian $x_1$ takes care of $x_2:$	
r		2.4.5	serve	srv	/fu!u	serv.yre	surva		sru		$x_1$ serves client $x_2$ by doing (vo) $x_3:+1$	Use -gey or -gey -fw -sru for serving food.
r		2.4.5	stir	str	|jiau	mov.ere	jicla*		trm		$x_1$ stirs $x_2:*$	|tum for the tool.
r		2.4.5,2.1.6	reward	riuard	|jiaw|qaw	remuner.ary	barda	pny	xia		$x_1$ rewards actor $x_2$ for doing (vo) $x_3:+2$ with reward $x_4$	
r		2.4.5,2.1.5,1.5.5	kind	kaind	/ren-tsz	benygn.us	ckano	pli	gny		$x_1$ is kind to beneficiary $x_2$ by doing (vo) $x_3:+1$	No automatic X2 merge.
r		2.4.5,3.5.2,4.2.9	shelter	qeltr	|bau!hu	teg.ere	harko		qel		$x_1$ shelters (xo) $x_2:*$ from (vo) $x_3:+2$	X1 can be an actor or an artifact e.g. a house; xo is there for compounds like -qel -fkar = garage.
r		2.4.5,4.2.4	support	s#port	-tuo!ju	sustyn.ere	djupo		tuo		$x_1$ supports $x_2:$	Primary meaning is mechanical; make good metaphors for secondary meanings.
r		2.4.5,4.4.6	translate	translait	-fan!i	vert.ere	fanva*		van		$x_1$ translates text $x_2$ to language $x_3$ from language $x_4$	X2 may be ``someone's speech''.
r		2.4.5,4.6.3	doctor,disease,treat,medicine	daktor	-i-qew	medyk.us	kicmu	xym,zbi,fyo	kme		$x_1$ treats patient $x_2$ for disease (vo) $x_3+2$ with medicine $x_4$	Not for Ph.D.
t		2.4.6	Hurting Persons or Objects	-	-	-			246		actor $x_1$ harms victim $x_2*$ by doing event (vo) $x_3+1$	
r		2.4.6	bite	bait	|iao	mord.ere	ditka		bao		$x_1$ bites $x_2:$ on its body part $x_3-2$	
r		2.4.6	hit	hyt	|da	fer.ire	bloda	kol	fey		$x_1$ hits $x_2:$ with weapon $x_3*$ on its body part $x_4-2$	X3 can also be a body part of X1.
r		2.4.6	stab,poke,jab	stab	!tsz	konfod.ere	tunta*		fon		$x_1$ stabs $x_2:$ with knife $x_3*$ in body part $x_4-2$	
r		2.4.6	attack	attak	-guw/ji	opugn.are	takma		guw		$x_1$ attacks $x_2:$ to get goal (vo) $x_3+$	No case merge.
r		2.4.6	harsh,severe	harq	-juaw/ian	asper	jursa*		jar		$x_1$ is harsh to $x_2:$ by doing (vo) $x_3:+1$	No case merge for X2.
r		2.4.6,2.2.4	take	taik	/na	kap.ere	tokna		kai		$x_1$ takes object $x_2$ away from former owner $x_3$	
r		2.4.6	cruel	kruel	/tsan!ku	krudel.ys	kruli		kru		$x_1$ is cruel to $x_2:$ by doing (vo) $x_3:+1$	No merge of X2 into X3.
r		2.4.6	kick	kyk	-ti	kalkytr.are	kekti		kyr		$x_1$ kicks $x_2:$ on its body part $x_3-2$	
r		2.4.6	punish	p#nyq	/fa	pun.yre	kasfa	xia	pny		$x_1$ punishes $x_2:$ for doing (vo) $x_3:+2@!$ with punishment (vo) $x_4+2$	X4 must often be converted due to case merge.
r		2.4.6	hurt	hrt	-qaw	laed.ere	surna		qae		$x_1$ hurts $x_2:$ by doing (vo) $x_3:+1$	No automatic merge for X2.
r	14	2.4.6	trouble	tr#bl	/ma/fan	veks.are	fatru		vem		$x_1$ makes trouble for $x_2:$ by doing (vo) $x_3:+1$	
r		2.4.6	prisoner	pryz#nr	!fan/ren	kapt.ere	preni	kio	znr		$x_1$ holds prisoner $x_2$ in prison $x_3$	
t		2.4.7	Activities of Objects   	-	-	-			247		active~object $x_1$ performs some activity	
r		2.4.7	break	brak	!nuw!puo	frang.ere	broko		bra		$x_1$ breaks by itself into pieces $x_2$	
q		2.4.7	vibrate	vaibrait	!jen!duw	vibr.are	canvi*	sur,bvi	bvi		$x_1$ vibrates	So fast you can't see.
r		2.4.7	radiate,shine,emit	qain	!jau	fulg.ere	dirce*		qau		$x_1$ radiates rays (xo) $x_2*$	Many emitted substances (light, sound, smoke) have a case for the source.
q		2.4.7	oscillate,shake,move	qaik	/iau	vibr.are	siltu	sur,duw	qkm		$x_1$ shakes or oscillates	Use -sur for repetitive events.
r		2.4.7	operate,function,perform	operait	-tsau!dzuo		bapra	zom,kro,bro	sao	akti	$x_1$ operates performing function (vo) $x_2+1$	
q		2.4.7	boil	boil	|ju	ferv.ere	bulju		vbo		$x_1$ boils	Turns to vapor.
q		2.4.7	hiss	hys	-	sybyl.are	hesce		xby		$x_1$ makes a hissing sound	
q		2.4.7	burn	brn	-qau	ard.ere	cabro	xgn,cfl	zbr		$x_1$ burns	
t		2.4.8	Miscellaneous Transitive Activities	-	-	-			248		actor $x_1$ does some activity	
r		2.4.8	develop,mature	divel#p	-fa/da	kresk.ere	valda	jaw	del		$x_1$ develops or matures to become adult (vo) $x_2+1$	Use -jaw for getting bigger.
r		2.4.8	dig	dyg	/jue	efod.ere	pafko		dye		$x_1$ digs up object $x_2$ out of soil $x_3$	
r		2.4.8	grow	gro	-qew|jaw	kresk.ere	rodja	del	jaw		$x_1$ grows to become (vo) $x_2+1$	Gets bigger.
r		2.4.8	manage	man#j	!ban|li	trakt.are	mande		bnl		$x_1$ manages function (vo) $x_2+$ in organization $x_3$	
r		2.4.8	celebrate	selebrat	!ciw!ju	kelebr.are	salci*		kel		$x_1$ celebrates event (vo) $x_2+$ by activity (vo) $x_3+1@!$	X1 is often but not always happy about X2.  Includes funerals.
r		2.4.8	keep,possess	kip	|iou	posyd.ere	klipu	zua,qlu,znr,bou,zey	kio		$x_1$ keeps object $x_2$ in his possession	
r		2.4.8	panic,crisis	panik	|kuw!bu	pav.ere	pakno		pan		$x_1$ panics, doing activity (vo) $x_2+1@!$, in crisis (vo) $x_3+1$	
r		2.4.8	represent	reprizent	!dai|li	prokurator	dilri		pre		$x_1$ represents client $x_2$ in affair (vo) $x_3+$	As actor; use -sni for symbols.
r		2.4.8	lose	luz	/i-shr	amyt.ere	dirlu	kio,vyw	qlu		$x_1$ loses object $x_2$	Loses possession.  Use -vyw for contests.
r		2.4.8,4.7.4	govern	g#vrn	!jr|li	gubern.are	garni		vrn		$x_1$ governs set of people (xy) $x_2s$	
t		2.5.0	Emotions	-	-	-			250			
t		2.5.1	Emotions about Other People	-	-	-			251		experiencer $x_1$ has an emotion because actor $x_2$ does event (vo) $x_3+2$	You may repeat X1 in X2 if X1 feels the emotion about itself.
r		2.5.1	pity,regret,sorry	pyti	-k#/lian	myser.ery	kecti		cmy		$x_1$ pities $x_2:$ because it is (vo) $x_3:+2$	
r		2.5.1	like,fond,care	fand	/lian!nai	amans	likci*	vam	fan		$x_1$ likes, is fond of $x_2:$ because it is (vo) $x_3:+2$	
r		2.5.1	distress,anguish	dystres	|ku!nan	ang.ere	dunku*		gan		$x_1$ feels anguish because $x_2:$ is (vo) $x_3:+2$	
r		2.5.1	forgive	forgyv	/uan!liaw	ygnosk.ere	parce*		gno		$x_1$ forgives $x_2:$ for doing/being (vo) $x_3:+2$	
r		2.5.1	grateful	graitfl	|gan!sie	grat.us	garti		gra		$x_1$ is grateful to $x_2:$ for doing (vo) $x_3:+2$	No automatic X1 merge.
r		2.5.1	angry	angri	-qew!ci	yraski	groci	tan	gri		$x_1$ is angry because $x_2:$ does (vo) $x_3:+2$	No automatic X1 merge.  X2 may be the same as X1.  Distinguish anger at X2 from anger at event X3.
r		2.5.1,1.5.5	surprise	surpraiz	-jiw/ci	myr.ary	stari		jiw		$x_1$ is surprised that $x_2:$ does (vo) $x_3:+2$	Not necessarily harming X1.
r		2.5.1	approve	apruv	-pi|ju#n	prob.are	prusa		pru		$x_1$ approves of $x_2:$ doing (vo) $x_3:+2$	
r		2.5.1	respect	rispekt	-dzun!jiw	observ.are	rispe	val	sri		$x_1$ respects $x_2:$ for doing/being (vo) $x_3:+2$	
r		2.5.1	love	l#v	!ay	am.are	cluva	fan	vam		$x_1$ loves $x_2:$	Use -fan for ``he loves her for her money''.
r		2.5.1	jealous,envy	jel#s	/ji!du	livyd.us	jilra*		vli		$x_1$ is jealous of $x_2:$ for doing/being (vo) $x_3:+2$	
r		2.5.1	hate	hait	!ian!u	odyse	tsodi	psi	xai		$x_1$ hates $x_2:$ for doing/being (vo) $x_3:+2$	X1 is sufficiently motivated to try to destroy X2 even at personal risk.  No automatic X1 merge in X3.
t		2.5.2	Emotions about an Activity	-	-	-			252		experiencer has an emotion about activity (vo) $x_2+$	
r		2.5.2	nervous	nrv#s	!bu/faw-sin	tymyd.us	narvo		bnr		$x_1$ is nervous about doing (vo) $x_2:+1$	
r		2.5.2	disgust	dysg#st	|tau!ian	fastidy.um	tasgu		dyi		$x_1$ feels disgust at (vo) $x_2:+$	Let -vo turn a disgusting object into an event.
r		2.5.2	shock	qak	!jen!duw	perturb.are	tcaku		jeu		$x_1$ feels shocked by (vo) $x_2:+$	
r		2.5.2	fear	fir	|k#w!jiu	metu.ere	firpa		jiu		$x_1$ fears doing or experiencing (vo) $x_2:+1$	
r		2.5.2	wonder,awe	u#ndr	/ci-ji	myr.ary	manci*		jyr		$x_1$ feels awe about (vo) $x_2:+$	
r		2.5.2	impel	ympel	!bi-qu	ympel.are	pulso	jie	pel		$x_1$ is impelled to do (vo) $x_2:+1$	Feels a strong emotional or intellectual drive.
r		2.5.2	guilt,remorse	gylt	!dzuei	vyty.um	zungi*		gyl		$x_1$ feels guilty about (vo) $x_2:+1$	
r		2.5.2,2.1.4	like,enjoy	laik	|si-huan	yuv.are	fundi	qya	vyu		$x_1$ likes to do (vo) $x_2:+1$	Not an object; likes to eat apples, not likes apples.  Needs -tiu (continuous) or -fwu (habit) for usual English meaning.
t		2.5.3	Miscellaneous Emotional States	-	-	-			253		experiencer $x_1$ has an emotion about property (vo) $x_2+1$	For many words X2 can equally be an activity.
r		2.5.3	humble,modest	humbl	-cian-bei	humyl.ys	cumla*		bum		$x_1$ is humble about (vo) $x_2:+1$	
r		2.5.3	sad,regret	sad	-iou/cou	tryst.ys	kecri		coy		$x_1$ is sad about (vo) $x_2:+1$	For regret, past tense |bir would normally go in the infinitive.
r		2.5.3	pain	pain	!tuw	dolor	puntu		dol		$x_1$ feels pain in body part $x_2-1*$	
r		2.5.3	happy	hapi	!siw/fu	felyx	hapci		fel		$x_1$ is happy about (vo) $x_2:+1$	
r		2.5.3	proud	praud	-jiau!au	superb.us	jardu*		pau		$x_1$ is proud of (vo) $x_2:+1$	
r		2.5.3	shame	qaim	-sio|cr	dedek.us	comtu		qim		$x_1$ is ashamed of (vo) $x_2:+1$	
r		2.5.3	attract,emotion	#trakt	-qi|in	atrah.ere	trili		tra		$x_1$ attracts person $x_2$ emotionally by behavior (vo) $x_3+1$	
r		2.5.3	frustrate	fr#strait	!dzuo!fei		steba*	sir	zuo		$x_1$ feels frustrated by (vo) $x_2:+1$	Let vo turn a frustrating object into an event.  Use -sir for restrain.
r		2.5.3,1.5.2	feel,emotion	imoqn	|gan/jue	kap.ere	sanse	ciw,sen	gae		$x_1$ feels emotion (vo) $x_2+$	Modal case for experiencer of subjective emotions.
t		3.0.0	Worldly Objects	-	-	-			300			The referent set of a one-argument predicate is not a set of objects but a set of one-member sets with one object each.
t		3.1.0	Animals and Plants	-	-	-			310			Almost all of these have only one argument: X1 is a (creature).
t		3.1.1	Animals, Domestic	-	-	-			311			
p		3.1.1	horse	hors	|ma	eku.#s	horma		kmor		$x_1$ is a horse	
p		3.1.1	turkey	trki	|huo-ji		xruki*		jiuo		$x_1$ is a turkey	
p		3.1.1	goat	got	-san/iaw	kaper	gotca		gowo		$x_1$ is a goat	
p		3.1.1	camel	kamel	!luo/tuo	kamel.us	kamlo		kmel		$x_1$ is a camel	
p		3.1.1	donkey,jackass,ass	danki	/liu.-dz	asyn.us	xasli*		dayn		$x_1$ is a donkey	
p		3.1.1	sheep	qip	/iaw	ov.ys	berci		pqiw		$x_1$ is a sheep	
p		3.1.1	pig	pyg	-ju	pork.us	porju		pory		$x_1$ is a pig	
p		3.1.1	goose	gus	/e	anser	gunse		pser		$x_1$ is a goose	
p		3.1.1	cat	kat	-mau	fel.ys	katma		kmau		$x_1$ is a cat	
p		3.1.1	chicken	cyken	-ji	pul.us	jipci*		cyen		$x_1$ is a chicken	Edible bird.
p		3.1.1	rat,mouse	rat	|lau|qu	rat.us	ratcu		tara		$x_1$ is a rat	Mouse is a small rat.
p		3.1.1	cow	kau	/nio	vaka	kasni		kani		$x_1$ is a cow	Includes bulls.
p		3.1.1	dog	dag	|go	kan.ys	kangu		xgom		$x_1$ is a dog	
p		3.1.1,4.6.1,4.6.4	spirit,ghost	spyryt	|guei!guai	anyma	spicu		spym		$x_1$ is a spirit or ghost believed in by people (xy) $x_2s$	
t		3.1.2	Animals, Wild, Vertebrate	-	-	-			312			
p		3.1.2	bird	b#rd	|niau	av.ys	nirda		brni		$x_1$ is a bird	
p		3.1.2	duck	d#k	-ia	anas	datka*		dian		$x_1$ is a duck	
p		3.1.2	amphibian	amfibyan	-cyw-ua		banfi*		fcyw		$x_1$ is an amphibian	
p		3.1.2	mammal	maml	/pu|ru!duw!u	anymal	mabru*		dwym		$x_1$ is a mammal	
p		3.1.2	fish	fyq	/u	pysk.ys	ficli		fpym		$x_1$ is a fish	Any kind, not just teleosts.
p		3.1.2	lion	lai#n	-qr.-dz	leo	simba		qleo		$x_1$ is a lion	
p		3.1.2	bear	ber	|qow	urs.us	conbe+		berw		$x_1$ is a bear	
p		3.1.2	snake	snaik	/q#	angu.ys	marpi		guna		$x_1$ is a snake	
p		3.1.2	monkey	m#nki	/hou.-dz	symya	murki		smym		$x_1$ is a monkey	
p		3.1.2	reptile	reptail	/pa/tsow	serpens	respa*		sper		$x_1$ is a reptile	
p		3.1.2	elephant	el#f#nt	!siaw	elefas	dumbo		flel		$x_1$ is an elephant	
p	10	3.1.2	tiger	taigr	|lau|hu	tigr.ys	tigra		tiri		$x_1$ is a tiger	
r		3.1.2,4.6.1	animal	anim#l	!duw!u	bestya	nimla		dwu		$x_1$ is an animal	Use -dwu -zu -jier for vertebrate.
t		3.1.3	Animals, Invertebrate	-	-	-			313			
p		3.1.3	ant	ant	|ma|i	formika	manti		foma		$x_1$ is an ant	
p		3.1.3	cockroach	kakroc	-jaw/law		jalra*		jawl		$x_1$ is a cockroach	
p		3.1.3	worm	urm	/cuw	verm.ys	kurma	guna	curm		$x_1$ is a worm	A snake is not a worm.  Use -curm |fsr for flatworm, -curm |klyl for roundworm and -curm |xer (not |canu) for annelid.
p		3.1.3	mollusc,clam,snail	klam	!baw/k#				bawa		$x_1$ is a mollusc	Normally bivalve.  Use -bawa -ksel for univalve (snail).
p		3.1.3	spider,arachnid	spaidr	-jr-ju	aranea	jukni*	ksyl	jrar		$x_1$ is a spider	
p		3.1.3	fly	flai	-tsaw-iw	muska	flaki		tsai		$x_1$ is a fly	An insect, order diptera.
p		3.1.3	insect	ynsekt	-kun/tsow	bestyola	sekta		sowy		$x_1$ is an insect	-sowy -zu -jiau !zu -kr for millipede (myriapod).  -sowy -zu -kqel for crustacean.
p		3.1.3	bee	bi	!mi-f#w	ap.ys	bifci		bimi		$x_1$ is a bee	
p		3.1.3	louse	laus	-shr.-dz	pedykul.us	ladzo		peul		$x_1$ is a louse	
p		3.1.3	butterfly,moth	butrflai	/hu/die	papyl.yo	toldi*		diui		$x_1$ is a butterfly or moth	-diui -fw -diai (day) for butterfly, -diui -fw -qana (night) for moth.
p		3.1.3,4.1.3	sponge	sp#nj	|hai/mian	spongya	penja		spon		$x_1$ is a sponge	
p		3.1.3,4.6.4	parasite	parasait	!ji-q#w/tsow	adsekula	parji*		jiow		$x_1$ is a parasite on host $x_2$	Includes worms, germs, fungus, humans.
t		3.1.4	Non-Edible Plants and Non-Animals	-	-	-			314			
p		3.1.4	fern	frn	/iaw|cr	filyks			cfrn		$x_1$ is a fern	
p		3.1.4	virus	vairus	!biw/du		vidru*		duiw		$x_1$ is a virus	
p		3.1.4	lichen	laiken	-ciw/tai		clika*		caiw		$x_1$ is a lichen	A symbiotic mixture of fungus and alga
p		3.1.4	fungus,mold,mushroom	mold	/mei	fung.us	mledi*		fumo		$x_1$ is a fungus	Use -ftu =fumo (fruit) or -tama -fw -fumo (hat) for mushroom.
p		3.1.4	protozoa	protozo#	-				zoro		$x_1$ is a protozoan	
p		3.1.4	grass	gras	|tsau	gramen	grasa		gara		$x_1$ is a grass plant	
p		3.1.4	alga,algae	alga	|dzao!lei				zaol		$x_1$ is an alga	Plural ``algae'' usually used in English.
p		3.1.4	rose	roz	/mei!guai-hua	rosa	rozme		guro		$x_1$ is a rose	
p		3.1.4	plant	plant	/jr!u	herba	herba		jeru		$x_1$ is a plant	Use -jeru -zu -flua for angiosperm, -jeru -zu -fqui |co for monocot (|cu for dicot), -jeru -zu -fqui -fw -jeni for gymnosperm.
p		3.1.4	oak	ok	!siaw!qu	kuerk.us	sokcu		qkue		$x_1$ is an oak	
p		3.1.4	moss	mas	-ciw-tai	musk.us	clika*		ciwi		$x_1$ is a moss	
p		3.1.4	lotus	lot#s	/lian		latna*		glol		$x_1$ is a lotus plant	
p		3.1.4	germ,bacteria	jrm	/uei-qew!u	germen	jurme*		germ		$x_1$ is a bacterium	
p		3.1.4	tree	tri	!qu	arbor	tricu		bror		$x_1$ is a tree	
p		3.1.4,4.1.7	cotton	katn	/mian		katna		kman		$x_1$ is a cotton plant	-xbu -kman for cotton cloth.
t		3.1.5	Domesticated Fruits and Vegetables	-	-	-			315			
p		3.1.5,4.1.7	flax,linen	lyn#n	/ma!bu	lynte.um	linbu		glyn		$x_1$ is a flax plant	-xbu -glyn for linen cloth.
p		3.1.5,4.3.2	tomato	t#mato	-fan/cie		tomto		fcie		$x_1$ is a tomato plant	-ftu -fcie for tomato fruit.
p		3.1.5,4.3.2	pear	per	/li	pir.um	perli		peir		$x_1$ is a pear tree	-ftu -peir for pear fruit.
p		3.1.5,4.3.2	banana	banana	-qiaw-jio		banla		bawo		$x_1$ is a banana tree	-ftu -bawo for banana fruit.
p		3.1.5,4.3.2	apple	apl	-pyw|guo	mal.um	pligo		plyw		$x_1$ is an apple tree	-ftu -plyw for apple fruit.
p		3.1.5,4.3.2	squash	skuaq	-gua				guau		$x_1$ is a squash plant	-ftu -guau for squash fruit.  Misclassified in English as a vegetable.
p		3.1.5,4.3.2	olive	al#v	|gan|lan	olyva	livbu		vanl		$x_1$ is an olive tree	-ftu -vanl for olive fruit.
p		3.1.5,4.3.3	cassava,taro	kasava	!u/tou				tuou		$x_1$ is a cassava plant	Japanese: taro.  -dryr -tuou for the edible root.
p		3.1.5,4.3.3	potato	p#taito	|ma/liw|qu		palto		piwu		$x_1$ is a potato plant	-dryr -piwu for the edible root.
p		3.1.5,4.3.4	tea	ti	/ca		tcati		cawi		$x_1$ is a tea plant	-fqui -cawi for tea leaf, -psuw -cawi for tea beverage.
p		3.1.5,4.3.4	marijuana	maryhuana	/ma	kanab.ys	ganja		kana		$x_1$ is a marijuana plant	-fqui -kana for marijuana leaf, -psye -kana for reefer.
p		3.1.5,4.3.4	tobacco	t#bako	-ian|tsau		bakco		tsan		$x_1$ is a tobacco plant	-fqui -tsan for tobacco leaf, -psye -tsan for tobacco cigarette.
p		3.1.5,4.3.5	parsley	parsli	-qiaw!tsai	apy.um	parsi		pawi		$x_1$ is a parsley plant	-fqui -pawi for parsley leaf.
p		3.1.5,4.3.5	asparagus	asperagus	/lu|su#n		spera		psun		$x_1$ is an asparagus plant	-stem -psun for asparagus stalk.
p		3.1.5,4.3.5	onion	#ni#n	-tsuw	kaepa	sluni*		tsuw		$x_1$ is an onion plant	Includes scallions.  -jwuw -tsuw for the edible root.
p		3.1.5,4.3.5	garlic	garlyk	!suan	ali.um	sunga*		sual		$x_1$ is a garlic plant	-jwuw -sual for the edible bulb.
t		3.1.6	Domesticated Grains and Beans	-	-	-			316			
p		3.1.6,4.3.3	rye	rai	|siau!mai		mraji*		siai		$x_1$ is a rye plant	-xgu -siai for rye grain.
q		3.1.6,4.3.3	bean	bin	!dou	faba	dembi*		bzn		$x_1$ is a bean plant	-smem -bzn for bean seed (what you eat).
p		3.1.6,4.3.3	millet	mylet	-	myly.um	cunmi*		cmyl		$x_1$ is a millet plant	-xgu -cmyl for millet grain.
